Secondary 0 muon ke=1413.5 (x,y,z)= 39.4992 -147.812 0 (m)
Secondary 0 muon ke=6038.73 (x,y,z)= -93.4679 41.6232 0 (m)
Secondary 0 muon ke=5168.78 (x,y,z)= 56.8479 -87.682 0 (m)
Secondary 0 muon ke=5925.82 (x,y,z)= -32.5414 85.6587 0 (m)
Secondary 0 muon ke=1183.05 (x,y,z)= -35.5534 -17.4265 0 (m)
Secondary 0 muon ke=17743.5 (x,y,z)= 80.2573 -145.606 0 (m)
Secondary 0 muon ke=140.987 (x,y,z)= 9.77296 -145.743 0 (m)
Secondary 0 muon ke=1429.44 (x,y,z)= -12.904 38.4647 0 (m)
Secondary 1 muon ke=238.766 (x,y,z)= -114.405 48.1507 0 (m)
Secondary 0 muon ke=963.105 (x,y,z)= -113.215 84.1024 0 (m)
Secondary 0 muon ke=234.371 (x,y,z)= -59.6677 116.035 0 (m)
Secondary 0 muon ke=10616.4 (x,y,z)= -40.6985 72.5854 0 (m)
Secondary 0 muon ke=3189.84 (x,y,z)= -146.283 30.2893 0 (m)
Secondary 0 muon ke=986.267 (x,y,z)= 47.6014 -61.105 0 (m)
Secondary 0 muon ke=3876.78 (x,y,z)= -24.8055 29.5569 0 (m)
Secondary 0 muon ke=461.927 (x,y,z)= -79.5615 -85.9242 0 (m)
Secondary 0 muon ke=25131.6 (x,y,z)= -38.6112 -39.3161 0 (m)
Secondary 0 muon ke=3630.72 (x,y,z)= 125.098 147.821 0 (m)
Secondary 0 muon ke=923.928 (x,y,z)= -95.72 17.9117 0 (m)
Secondary 0 muon ke=2442.54 (x,y,z)= 87.4989 125.932 0 (m)
Secondary 0 muon ke=6580.53 (x,y,z)= 68.2093 -18.992 0 (m)
Secondary 0 muon ke=2245.28 (x,y,z)= -68.0262 -111.119 0 (m)
Secondary 0 muon ke=1736.73 (x,y,z)= 55.2 44.3147 0 (m)
Secondary 1 muon ke=3644.93 (x,y,z)= 115.367 16.4927 0 (m)
Secondary 0 muon ke=475.248 (x,y,z)= 119.743 -74.1966 0 (m)
Secondary 1 muon ke=2249.29 (x,y,z)= 145.935 55.9965 0 (m)
Secondary 2 muon ke=3739.15 (x,y,z)= 49.5148 6.03772 0 (m)
Secondary 0 muon ke=5261.12 (x,y,z)= 115.916 -90.3918 0 (m)
Secondary 0 muon ke=1601.87 (x,y,z)= 5.93701 143.582 0 (m)
Secondary 1 muon ke=2152.98 (x,y,z)= 114.607 5.98279 0 (m)
Secondary 0 muon ke=926.464 (x,y,z)= 134.546 104.06 0 (m)
Secondary 0 muon ke=1736.68 (x,y,z)= 71.9445 -47.8394 0 (m)
Secondary 0 muon ke=2185.82 (x,y,z)= 55.9507 81.3192 0 (m)
Secondary 0 muon ke=1778 (x,y,z)= -84.3678 -54.4859 0 (m)
Secondary 0 muon ke=1638.8 (x,y,z)= 37.6316 -60.5649 0 (m)
Secondary 0 muon ke=1150.71 (x,y,z)= -117.134 -3.4377 0 (m)
Secondary 0 muon ke=2269.84 (x,y,z)= 107.402 -58.4867 0 (m)
Secondary 0 muon ke=4098.7 (x,y,z)= -17.3991 66.5339 0 (m)
Secondary 1 muon ke=4643.55 (x,y,z)= -3.40108 -52.2704 0 (m)
Secondary 2 muon ke=3738.78 (x,y,z)= -116.813 41.4675 0 (m)
Secondary 0 muon ke=89593.8 (x,y,z)= 81.5573 6.69688 0 (m)
Secondary 0 muon ke=475.028 (x,y,z)= -144.599 -81.3925 0 (m)
Secondary 0 muon ke=967.487 (x,y,z)= -44.4704 97.5236 0 (m)
Secondary 0 muon ke=5568.7 (x,y,z)= -137.906 148.645 0 (m)
Secondary 0 muon ke=1164.31 (x,y,z)= -135.114 21.7202 0 (m)
Secondary 0 muon ke=1103.72 (x,y,z)= -70.8001 -55.0352 0 (m)
Secondary 1 muon ke=3128.13 (x,y,z)= 89.5313 -140.863 0 (m)
Secondary 2 muon ke=1976.88 (x,y,z)= 10.6793 131.608 0 (m)
Secondary 0 muon ke=1524.57 (x,y,z)= -45.1112 -48.05 0 (m)
Secondary 0 muon ke=1686.11 (x,y,z)= -142.832 -91.939 0 (m)
Secondary 1 muon ke=4193.26 (x,y,z)= -132.313 107.686 0 (m)
Secondary 0 muon ke=952.739 (x,y,z)= 135.59 -140.085 0 (m)
Secondary 0 muon ke=4554.29 (x,y,z)= -27.1491 -123.176 0 (m)
Secondary 0 muon ke=12681.5 (x,y,z)= 53.1493 59.8965 0 (m)
Secondary 0 muon ke=3257.29 (x,y,z)= -66.0762 104.234 0 (m)
Secondary 0 muon ke=7375.88 (x,y,z)= -117.289 -85.8876 0 (m)
Secondary 0 muon ke=3733.8 (x,y,z)= -59.0634 147.08 0 (m)
Secondary 0 muon ke=3228.26 (x,y,z)= -18.7174 -115.925 0 (m)
Secondary 0 muon ke=9378.34 (x,y,z)= 37.183 -23.2216 0 (m)
Secondary 0 muon ke=434.308 (x,y,z)= 4.07855 18.2047 0 (m)
Secondary 0 muon ke=13959.5 (x,y,z)= 36.5513 -44.2324 0 (m)
Secondary 0 muon ke=3806.81 (x,y,z)= 41.4218 133.475 0 (m)
Secondary 0 muon ke=4758.63 (x,y,z)= -149.863 140.991 0 (m)
Secondary 0 muon ke=12057.4 (x,y,z)= 39.4443 142.072 0 (m)
Secondary 0 muon ke=7015.35 (x,y,z)= 49.1944 72.0818 0 (m)
Secondary 1 muon ke=1608.84 (x,y,z)= -135.187 141.962 0 (m)
Secondary 0 muon ke=8036.99 (x,y,z)= 112.455 -42.4746 0 (m)
Secondary 0 muon ke=885.972 (x,y,z)= -148.425 101.414 0 (m)
Secondary 0 muon ke=3382.03 (x,y,z)= -122.105 144.653 0 (m)
Secondary 0 muon ke=24747.1 (x,y,z)= -134.116 -115.202 0 (m)
Secondary 0 muon ke=241.167 (x,y,z)= 132.734 -64.7945 0 (m)
Secondary 0 muon ke=987.973 (x,y,z)= -148.16 143.857 0 (m)
Secondary 0 muon ke=9877.92 (x,y,z)= -144.013 -55.2824 0 (m)
Secondary 0 muon ke=1730.71 (x,y,z)= 36.002 73.8945 0 (m)
Secondary 0 muon ke=3079.28 (x,y,z)= 33.9605 78.5819 0 (m)
Secondary 0 muon ke=6275.62 (x,y,z)= -76.6136 148.663 0 (m)
Secondary 0 muon ke=4646.74 (x,y,z)= 35.8464 -100.737 0 (m)
Secondary 0 muon ke=9051.39 (x,y,z)= 80.9347 -29.5569 0 (m)
Secondary 0 muon ke=5602.14 (x,y,z)= 93.2207 -83.8552 0 (m)
Secondary 0 muon ke=18446.6 (x,y,z)= -5.88208 -58.4134 0 (m)
Secondary 0 muon ke=38546.1 (x,y,z)= 96.3975 -66.0853 0 (m)
Secondary 0 muon ke=1790.33 (x,y,z)= -78.7833 9.04056 0 (m)
Secondary 0 muon ke=14302.2 (x,y,z)= 32.8252 -120.823 0 (m)
Secondary 0 muon ke=728.953 (x,y,z)= 86.3453 138.309 0 (m)
Secondary 0 muon ke=309.599 (x,y,z)= 24.009 128.358 0 (m)
Secondary 0 muon ke=12308.2 (x,y,z)= -66.4241 -116.346 0 (m)
Secondary 0 muon ke=881.302 (x,y,z)= 66.8818 -95.2898 0 (m)
